county,suicide_2015_2017,suicide_2018_2020,drug_induced_deaths_2015_2017,drug_induced_deaths_2018_2020
ALAMEDA,        8.6   ,        8.8   ,        9.9   ,       15.4   
ALPINE,        -     ,       58.3 * ,        -     ,      116.6 * 
AMADOR,       21.2   ,       33.7   ,       16.0 * ,       25.4   
BUTTE,       18.9   ,       22.1   ,       27.8   ,       31.4   
CALAVERAS,       26.1   ,       24.3   ,       18.0   ,       25.5   
COLUSA,        9.7 * ,        8.7 * ,       16.7 * ,       13.8 * 
CONTRA COSTA,       10.3   ,        9.3   ,       10.9   ,       16.6   
DEL NORTE,       13.0 * ,       22.8 * ,       24.8 * ,       30.8   
EL DORADO,       18.6   ,       16.7   ,       21.2   ,       20.2   
FRESNO,       11.0   ,       11.0   ,       16.3   ,       16.3   
GLENN,       28.9   ,       18.9 * ,       10.2 * ,       25.0 * 
HUMBOLDT,       23.6   ,       22.4   ,       38.1   ,       37.0   
IMPERIAL,        9.2   ,        5.7   ,       20.5   ,       28.0   
INYO,       15.6 * ,       18.3 * ,       23.3 * ,       48.1   
KERN,       14.2   ,       13.5   ,       26.1   ,       33.3   
KINGS,       12.6   ,       14.7   ,       11.3   ,       18.3   
LAKE,       29.4   ,       25.4   ,       40.5   ,       66.1   
LASSEN,       25.7   ,       26.0   ,       23.4   ,       29.9   
LOS ANGELES,        8.1   ,        8.2   ,        8.5   ,       14.1   
MADERA,       11.3   ,       11.4   ,       15.1   ,       15.6   
MARIN,       12.7   ,       14.4   ,       12.4   ,       16.9   
MARIPOSA,       33.2 * ,       22.4 * ,       17.4 * ,       22.6 * 
MENDOCINO,       21.5   ,       20.8   ,       26.2   ,       42.0   
MERCED,       11.9   ,        9.1   ,       15.9   ,       18.3   
MODOC,       15.3 * ,       20.1 * ,       21.5 * ,       10.4 * 
MONO,       11.1 * ,       11.8 * ,        6.0 * ,       11.8 * 
MONTEREY,        9.3   ,        9.6   ,       11.2   ,       16.6   
NAPA,       10.2   ,       10.8   ,       10.4   ,       13.3   
NEVADA,       18.7   ,       21.0   ,       22.3   ,       24.2   
ORANGE,        9.3   ,        9.9   ,       12.1   ,       15.6   
PLACER,       12.1   ,       12.4   ,       11.9   ,       15.5   
PLUMAS,       25.3 * ,       16.4 * ,       27.7 * ,       25.3 * 
RIVERSIDE,       11.4   ,       11.9   ,       16.4   ,       23.1   
SACRAMENTO,       13.0   ,       12.6   ,       17.1   ,       20.8   
SAN BENITO,       11.0 * ,        8.6 * ,       10.0 * ,       13.4   
SAN BERNARDINO,       11.0   ,       11.2   ,       12.2   ,       18.2   
SAN DIEGO,       12.4   ,       12.4   ,       13.8   ,       18.5   
SAN FRANCISCO,       10.5   ,        8.0   ,       19.1   ,       38.1   
SAN JOAQUIN,       10.4   ,       10.8   ,       17.9   ,       19.6   
SAN LUIS OBISPO,       17.2   ,       16.2   ,       17.6   ,       23.9   
SAN MATEO,        7.4   ,        8.5   ,        8.2   ,       12.0   
SANTA BARBARA,       12.9   ,       11.4   ,       16.1   ,       18.3   
SANTA CLARA,        7.3   ,        8.2   ,        7.6   ,       11.2   
SANTA CRUZ,       15.9   ,       12.8   ,       17.6   ,       20.3   
SHASTA,       24.1   ,       25.0   ,       22.8   ,       26.9   
SIERRA,       53.5 * ,       26.8 * ,        -     ,       23.5 * 
SISKIYOU,       22.2   ,       24.1   ,       31.9   ,       21.9   
SOLANO,       11.4   ,       14.0   ,       13.5   ,       19.2   
SONOMA,       12.4   ,       14.1   ,       14.4   ,       23.5   
STANISLAUS,       10.4   ,       11.4   ,       18.8   ,       21.4   
SUTTER,       14.2   ,        9.6   ,       11.6   ,       17.0   
TEHAMA,       19.3   ,       18.9   ,       10.5 * ,       11.9   
TRINITY,       44.2 * ,       25.8 * ,       19.2 * ,       24.0 * 
TULARE,       11.2   ,        7.7   ,       10.8   ,       13.3   
TUOLUMNE,       19.2   ,       22.4   ,       33.0   ,       21.8   
VENTURA,       10.9   ,       10.2   ,       14.8   ,       19.0   
YOLO,       12.7   ,        9.3   ,       15.4   ,       15.0   
YUBA,       19.3   ,       20.5   ,       23.0   ,       20.1   